"","V1","V2","V3","V4","V5"
"1068","Avro",5000000,0.76,0.555,50016650
"1069","Kryo",100,0,0,115
"1070","Kryo",1000,0,0,1015
"1071","Kryo",10000,0,0,10016
"1072","Kryo",20000,0,0,20016
"1073","Kryo",100000,0,0.001,100016
"1074","Kryo",200000,0,0.003,200016
"1075","Kryo",500000,0,0.008,500016
"1076","Kryo",1000000,0,0.014,1000016
"1077","Kryo",2000000,0,0.03,2000017
"1078","Kryo",3000000,0,0.044,3000017
"1079","Kryo",4000000,0,0.074,4000017
"1080","Kryo",5000000,0,0.089,5000017
"1081","MessagePack",100,0.002,0,1100
"1082","MessagePack",1000,0.002,0,11000
"1083","MessagePack",10000,0.003,0,110000
"1084","MessagePack",20000,0.003,0.002,220000
"1085","MessagePack",100000,0.009,0.006,1100000
"1086","MessagePack",200000,0.017,0.012,2200000
"1087","MessagePack",500000,0.04,0.031,5500000
"1088","MessagePack",1000000,0.078,0.062,11000000
"1089","MessagePack",2000000,0.16,0.133,22000000
"1090","MessagePack",3000000,0.262,0.193,33000000
"1091","MessagePack",4000000,0.326,0.259,44000000
"1092","MessagePack",5000000,0.391,0.327,55000000
"1093","Json",100,0.002,0,6701
"1094","Json",1000,0.002,0,67001
"1095","Json",10000,0.004,0.003,670001
"1096","Json",20000,0.007,0.006,1340001
"1097","Json",100000,0.02,0.032,6700001
"1098","Json",200000,0.036,0.064,13400001
"1099","Json",500000,0.088,0.161,33500001
"1100","Json",1000000,0.174,0.389,67000001
"1101","Json",2000000,0.351,0.814,134000001
"1102","Json",3000000,0.599,1.498,201000001
"1103","Json",4000000,0.891,2.231,268000001
"1104","Json",5000000,1.006,2.618,335000001
"1105","Avro",100,0.002,0,1248
"1106","Avro",1000,0.002,0.001,10249
"1107","Avro",10000,0.004,0.001,100270
"1108","Avro",20000,0.004,0.003,200311
"1109","Avro",100000,0.017,0.011,1000564
"1110","Avro",200000,0.033,0.021,2000900
"1111","Avro",500000,0.079,0.054,5001886
"1112","Avro",1000000,0.15,0.124,10003525
"1113","Avro",2000000,0.346,0.257,20006801
"1114","Avro",3000000,0.521,0.346,30010077
"1115","Avro",4000000,0.617,0.426,40013353
"1116","Avro",5000000,0.744,0.603,50016650
"1117","Kryo",100,0,0,115
"1118","Kryo",1000,0,0,1015
"1119","Kryo",10000,0,0,10016
"1120","Kryo",20000,0,0,20016
"1121","Kryo",100000,0,0.001,100016
"1122","Kryo",200000,0,0.004,200016
"1123","Kryo",500000,0,0.007,500016
"1124","Kryo",1000000,0,0.015,1000016
"1125","Kryo",2000000,0,0.035,2000017
"1126","Kryo",3000000,0,0.043,3000017
"1127","Kryo",4000000,0,0.057,4000017
"1128","Kryo",5000000,0,0.073,5000017
"1129","MessagePack",100,0.003,0,1100
"1130","MessagePack",1000,0.003,0,11000
"1131","MessagePack",10000,0.004,0,110000
"1132","MessagePack",20000,0.003,0.001,220000
"1133","MessagePack",100000,0.01,0.006,1100000
"1134","MessagePack",200000,0.017,0.012,2200000
"1135","MessagePack",500000,0.039,0.029,5500000
"1136","MessagePack",1000000,0.092,0.07,11000000
"1137","MessagePack",2000000,0.176,0.136,22000000
"1138","MessagePack",3000000,0.273,0.188,33000000
"1139","MessagePack",4000000,0.354,0.236,44000000
"1140","MessagePack",5000000,0.405,0.335,55000000
"1141","Json",100,0.003,0,6701
"1142","Json",1000,0.002,0.001,67001
"1143","Json",10000,0.005,0.003,670001
"1144","Json",20000,0.006,0.007,1340001
"1145","Json",100000,0.026,0.033,6700001
"1146","Json",200000,0.037,0.066,13400001
"1147","Json",500000,0.102,0.167,33500001
"1148","Json",1000000,0.175,0.392,67000001
"1149","Json",2000000,0.364,0.793,134000001
"1150","Json",3000000,0.692,1.465,201000001
"1151","Json",4000000,0.799,2.258,268000001
"1152","Json",5000000,0.965,2.642,335000001
"1153","Avro",100,0.003,0,1248
"1154","Avro",1000,0.002,0,10249
"1155","Avro",10000,0.003,0.002,100270
"1156","Avro",20000,0.005,0.002,200311
"1157","Avro",100000,0.017,0.011,1000564
"1158","Avro",200000,0.033,0.021,2000900
"1159","Avro",500000,0.08,0.074,5001886
"1160","Avro",1000000,0.156,0.108,10003525
"1161","Avro",2000000,0.328,0.254,20006801
"1162","Avro",3000000,0.556,0.38,30010077
"1163","Avro",4000000,0.685,0.434,40013353
"1164","Avro",5000000,0.754,0.609,50016650
"1165","Kryo",100,0,0,115
"1166","Kryo",1000,0,0.001,1015
"1167","Kryo",10000,0,0,10016
"1168","Kryo",20000,0,0,20016
"1169","Kryo",100000,0,0.001,100016
"1170","Kryo",200000,0,0.003,200016
"1171","Kryo",500000,0,0.007,500016
"1172","Kryo",1000000,0,0.014,1000016
"1173","Kryo",2000000,0,0.048,2000017
"1174","Kryo",3000000,0,0.045,3000017
"1175","Kryo",4000000,0,0.059,4000017
"1176","Kryo",5000000,0,0.077,5000017
"1177","MessagePack",100,0.002,0,1100
"1178","MessagePack",1000,0.002,0.001,11000
"1179","MessagePack",10000,0.003,0.001,110000
"1180","MessagePack",20000,0.004,0.001,220000
"1181","MessagePack",100000,0.01,0.006,1100000
"1182","MessagePack",200000,0.017,0.011,2200000
"1183","MessagePack",500000,0.042,0.037,5500000
"1184","MessagePack",1000000,0.077,0.057,11000000
"1185","MessagePack",2000000,0.16,0.12,22000000
"1186","MessagePack",3000000,0.308,0.214,33000000
"1187","MessagePack",4000000,0.348,0.285,44000000
"1188","MessagePack",5000000,0.433,0.357,55000000
"1189","Json",100,0.003,0,6701
"1190","Json",1000,0.003,0,67001
"1191","Json",10000,0.005,0.003,670001
"1192","Json",20000,0.013,0.008,1340001
"1193","Json",100000,0.02,0.034,6700001
"1194","Json",200000,0.039,0.066,13400001
"1195","Json",500000,0.091,0.165,33500001
"1196","Json",1000000,0.178,0.391,67000001
"1197","Json",2000000,0.353,0.76,134000001
"1198","Json",3000000,0.634,1.473,201000001
"1199","Json",4000000,0.791,2.301,268000001
"1200","Json",5000000,1.038,2.62,335000001
"1201","Avro",100,0.002,0,1248
"1202","Avro",1000,0.002,0,10249
"1203","Avro",10000,0.004,0.001,100270
"1204","Avro",20000,0.004,0.003,200311
"1205","Avro",100000,0.017,0.012,1000564
"1206","Avro",200000,0.033,0.021,2000900
"1207","Avro",500000,0.079,0.055,5001886
"1208","Avro",1000000,0.151,0.115,10003525
"1209","Avro",2000000,0.307,0.218,20006801
"1210","Avro",3000000,0.48,0.326,30010077
"1211","Avro",4000000,0.642,0.435,40013353
"1212","Avro",5000000,0.839,0.631,50016650
"1213","Kryo",100,0,0,115
"1214","Kryo",1000,0,0,1015
"1215","Kryo",10000,0,0.001,10016
"1216","Kryo",20000,0,0,20016
"1217","Kryo",100000,0,0.002,100016
"1218","Kryo",200000,0,0.003,200016
"1219","Kryo",500000,0,0.008,500016
"1220","Kryo",1000000,0,0.014,1000016
"1221","Kryo",2000000,0,0.029,2000017
"1222","Kryo",3000000,0,0.046,3000017
"1223","Kryo",4000000,0,0.057,4000017
"1224","Kryo",5000000,0,0.073,5000017
"1225","MessagePack",100,0.003,0,1100
"1226","MessagePack",1000,0.002,0,11000
"1227","MessagePack",10000,0.003,0.001,110000
"1228","MessagePack",20000,0.004,0.001,220000
"1229","MessagePack",100000,0.01,0.006,1100000
"1230","MessagePack",200000,0.017,0.012,2200000
"1231","MessagePack",500000,0.04,0.029,5500000
"1232","MessagePack",1000000,0.085,0.066,11000000
"1233","MessagePack",2000000,0.199,0.116,22000000
"1234","MessagePack",3000000,0.275,0.182,33000000
"1235","MessagePack",4000000,0.312,0.238,44000000
"1236","MessagePack",5000000,0.395,0.312,55000000
"1237","Json",100,0.002,0,6701
"1238","Json",1000,0.002,0.001,67001
"1239","Json",10000,0.004,0.003,670001
"1240","Json",20000,0.006,0.006,1340001
